file,line,name,parent,context,author,displayName,effective_author,credit_status
TAEGear\Backpacks\config.cpp,666,tae_nova_Z6,tae_jetpack_Z6,CfgVehicles,Kandosii Mod Devs and Edonn,Nova's Z-6 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\config.cpp,2,TAEGear,,CfgPatches,TAE Mod Team,,TAE Mod Team,Explicit
TAEGear\Helmets\config.cpp,2,TAEGear_Helmets,,CfgPatches,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,47,tae_helmet_traditional,tgf_helmets_traditional,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,77,tae_helmet_battle_master,tgf_helmets_battle_master,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,105,tae_helmet_gunslinger,tgf_helmets_gunslinger,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,133,tae_helmet_gunslinger_vet,tgf_helmets_gunslinger_vet,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,161,tae_helmet_warlord,tgf_helmets_warlord,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,189,tae_helmet_viper,tgf_helmets_viper,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,217,tae_helmet_heavy,tgf_helmets_heavy,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,245,tae_helmet_pilot,tgf_helmets_pilot,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,273,tae_helmet_shrike,tgf_helmets_shrike,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,301,tae_helmet_arbiter,tgf_helmets_arbiter,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,329,tae_helmet_war_chief,tgf_helmets_war_chief,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,357,tae_helmet_nite_owl,tgf_helmets_nite_owl,CfgWeapons,,,,External inheritance / no local author
TAEGear\Helmets\config.cpp,386,tae_helmet_ls_traditional,ls_mandalorianHelmet_traditional,CfgWeapons,,Mandalorian Traditional Helmet (LS),,External inheritance / no local author
TAEGear\Helmets\config.cpp,415,tae_helmet_ls_dinDjarin,ls_mandalorianHelmet_dinDjarin,CfgWeapons,,Mandalorian Din Djarin Helmet (LS),,External inheritance / no local author
TAEGear\Helmets\config.cpp,444,tae_helmet_ls_executioner,ls_mandalorianHelmet_executioner,CfgWeapons,,Mandalorian Executioner Helmet (LS),,External inheritance / no local author
TAEGear\Helmets\config.cpp,473,tae_helmet_ls_armorer,ls_mandalorianHelmet_armorer,CfgWeapons,,Mandalorian Armorer Helmet (LS),,External inheritance / no local author
TAEGear\Helmets\config.cpp,505,tae_ls_mandalorian_rangefinder,ls_mandalorian_rangefinder,CfgWeapons,,Mandalorian Rangefinder,,External inheritance / no local author
